date,isHoliday,oilPrice
2/01/2017,TRUE,52.36
3/01/2017,FALSE,52.36
4/01/2017,FALSE,53.26
5/01/2017,FALSE,53.77
6/01/2017,FALSE,53.98
7/01/2017,FALSE,53.30333333
8/01/2017,FALSE,51.87333333
9/01/2017,FALSE,51.95
10/01/2017,FALSE,50.82
11/01/2017,FALSE,52.19
12/01/2017,FALSE,53.01
13/01/2017,FALSE,52.36
14/01/2017,FALSE,52.3825
15/01/2017,FALSE,52.405
16/01/2017,FALSE,52.4275
17/01/2017,FALSE,52.45
18/01/2017,FALSE,51.12
19/01/2017,FALSE,51.39
20/01/2017,FALSE,52.33
21/01/2017,FALSE,52.47666667
22/01/2017,FALSE,52.36333333
23/01/2017,FALSE,52.77
24/01/2017,FALSE,52.38
25/01/2017,FALSE,52.14
26/01/2017,FALSE,53.24
27/01/2017,FALSE,53.18
28/01/2017,FALSE,52.99666667
29/01/2017,FALSE,52.89333333
30/01/2017,FALSE,52.63
31/01/2017,FALSE,52.75
1/02/2017,FALSE,53.9
2/02/2017,FALSE,53.55
3/02/2017,FALSE,53.81
4/02/2017,FALSE,53.54333333
5/02/2017,FALSE,52.73
6/02/2017,FALSE,53.01
7/02/2017,FALSE,52.19
8/02/2017,FALSE,52.37
9/02/2017,FALSE,52.99
10/02/2017,FALSE,53.84
11/02/2017,FALSE,53.54666667
12/02/2017,FALSE,53.42
13/02/2017,FALSE,52.96
14/02/2017,FALSE,53.21
15/02/2017,FALSE,53.11
16/02/2017,FALSE,53.41
17/02/2017,FALSE,53.41
18/02/2017,FALSE,53.5625
19/02/2017,FALSE,53.715
20/02/2017,FALSE,53.8675
21/02/2017,FALSE,54.02
22/02/2017,FALSE,53.61
23/02/2017,FALSE,54.48
24/02/2017,FALSE,53.99
25/02/2017,FALSE,54.00666667
26/02/2017,FALSE,53.99666667
27/02/2017,TRUE,54.04
28/02/2017,TRUE,54
1/03/2017,FALSE,53.82
2/03/2017,FALSE,52.63
3/03/2017,FALSE,53.33
4/03/2017,FALSE,53.28333333
5/03/2017,FALSE,52.89666667
6/03/2017,FALSE,53.19
7/03/2017,FALSE,52.68
8/03/2017,FALSE,49.83
9/03/2017,FALSE,48.75
10/03/2017,FALSE,48.05
11/03/2017,FALSE,48.01666667
12/03/2017,FALSE,47.51
13/03/2017,FALSE,47.95
14/03/2017,FALSE,47.24
15/03/2017,FALSE,48.34
16/03/2017,FALSE,48.3
17/03/2017,FALSE,48.34
18/03/2017,FALSE,48.15666667
19/03/2017,FALSE,47.46
20/03/2017,FALSE,47.79
21/03/2017,FALSE,47.02
22/03/2017,FALSE,47.29
23/03/2017,FALSE,47
24/03/2017,FALSE,47.3
25/03/2017,FALSE,47.20666667
26/03/2017,FALSE,48.00666667
27/03/2017,FALSE,47.02
28/03/2017,FALSE,48.36
29/03/2017,FALSE,49.47
30/03/2017,FALSE,50.3
31/03/2017,FALSE,50.54
1/04/2017,FALSE,50.44333333
2/04/2017,FALSE,50.84
3/04/2017,FALSE,50.25
4/04/2017,FALSE,50.99
5/04/2017,FALSE,51.14
6/04/2017,FALSE,51.69
7/04/2017,FALSE,52.25
8/04/2017,FALSE,52.52
9/04/2017,FALSE,53.00333333
10/04/2017,FALSE,53.06
11/04/2017,FALSE,53.38
12/04/2017,FALSE,53.12
13/04/2017,FALSE,53.19
14/04/2017,TRUE,53.0475
15/04/2017,FALSE,52.905
16/04/2017,FALSE,52.7625
17/04/2017,FALSE,52.62
18/04/2017,FALSE,52.46
19/04/2017,FALSE,50.49
20/04/2017,FALSE,50.26
21/04/2017,FALSE,49.64
22/04/2017,FALSE,49.39333333
23/04/2017,FALSE,49.36
24/04/2017,FALSE,48.9
25/04/2017,FALSE,49.22
26/04/2017,FALSE,49.22
27/04/2017,FALSE,48.96
28/04/2017,FALSE,49.31
29/04/2017,FALSE,49.15
30/04/2017,FALSE,48.20333333
1/05/2017,TRUE,48.83
2/05/2017,FALSE,47.65
3/05/2017,FALSE,47.79
4/05/2017,FALSE,45.55
5/05/2017,FALSE,46.23
6/05/2017,FALSE,46.30666667
7/05/2017,FALSE,45.97
8/05/2017,FALSE,46.46
9/05/2017,FALSE,45.84
10/05/2017,FALSE,47.28
11/05/2017,FALSE,47.81
12/05/2017,FALSE,47.83
