date,item_nbr,ondisplay,onpromotion,unit_sales
2/01/2017,103665,FALSE,FALSE,0
2/01/2017,105574,FALSE,FALSE,0
2/01/2017,105575,TRUE,FALSE,3
2/01/2017,105577,TRUE,FALSE,1
2/01/2017,105737,TRUE,FALSE,1
2/01/2017,105857,FALSE,FALSE,0
2/01/2017,106716,FALSE,FALSE,0
2/01/2017,108696,FALSE,FALSE,0
2/01/2017,108698,FALSE,FALSE,0
2/01/2017,108701,FALSE,FALSE,0
2/01/2017,108786,TRUE,FALSE,1
2/01/2017,108797,TRUE,FALSE,3
2/01/2017,108831,FALSE,FALSE,0
2/01/2017,108862,TRUE,FALSE,1
2/01/2017,108952,TRUE,FALSE,1
2/01/2017,111223,TRUE,FALSE,7
2/01/2017,111397,FALSE,FALSE,0
2/01/2017,112830,FALSE,FALSE,0
2/01/2017,114778,FALSE,FALSE,0
2/01/2017,114790,TRUE,FALSE,1
2/01/2017,114799,TRUE,FALSE,2
2/01/2017,114800,TRUE,FALSE,1
2/01/2017,115267,TRUE,FALSE,1
2/01/2017,115611,FALSE,FALSE,0
2/01/2017,115693,TRUE,TRUE,1
2/01/2017,115850,TRUE,FALSE,1
2/01/2017,115891,TRUE,FALSE,1
2/01/2017,115892,TRUE,FALSE,4
2/01/2017,115893,TRUE,FALSE,5
2/01/2017,115894,FALSE,FALSE,0
2/01/2017,116017,FALSE,FALSE,0
2/01/2017,116018,TRUE,FALSE,3
2/01/2017,116279,FALSE,FALSE,0
2/01/2017,116311,FALSE,FALSE,0
2/01/2017,119023,FALSE,FALSE,0
2/01/2017,119024,TRUE,FALSE,8
2/01/2017,119141,FALSE,FALSE,0
2/01/2017,119191,TRUE,FALSE,2
2/01/2017,119624,TRUE,FALSE,1
2/01/2017,121964,FALSE,FALSE,0
2/01/2017,122095,FALSE,FALSE,0
2/01/2017,122419,FALSE,FALSE,0
2/01/2017,122425,TRUE,FALSE,1
2/01/2017,123347,TRUE,FALSE,1
2/01/2017,123601,FALSE,FALSE,0
2/01/2017,125430,FALSE,FALSE,0
2/01/2017,127534,FALSE,FALSE,0
2/01/2017,127547,TRUE,FALSE,2
2/01/2017,129296,FALSE,FALSE,0
2/01/2017,129297,TRUE,FALSE,2
2/01/2017,129635,TRUE,TRUE,12
2/01/2017,129758,FALSE,FALSE,0
2/01/2017,153078,TRUE,FALSE,6
2/01/2017,153267,TRUE,FALSE,5
2/01/2017,153395,FALSE,FALSE,0
2/01/2017,153398,TRUE,FALSE,3
2/01/2017,155601,FALSE,FALSE,0
2/01/2017,155610,TRUE,FALSE,1
2/01/2017,155621,FALSE,FALSE,0
2/01/2017,155625,FALSE,FALSE,0
2/01/2017,158680,TRUE,FALSE,2
2/01/2017,158789,TRUE,FALSE,2
2/01/2017,158842,TRUE,FALSE,2
2/01/2017,158875,TRUE,FALSE,1
2/01/2017,159156,TRUE,FALSE,16.918
2/01/2017,159242,TRUE,FALSE,2
2/01/2017,162066,TRUE,FALSE,2
2/01/2017,164036,TRUE,FALSE,1
2/01/2017,164037,TRUE,TRUE,8
2/01/2017,164088,FALSE,FALSE,0
2/01/2017,164647,FALSE,FALSE,0
2/01/2017,165550,TRUE,FALSE,7
2/01/2017,165551,FALSE,FALSE,0
2/01/2017,165553,TRUE,FALSE,6
2/01/2017,165594,TRUE,FALSE,4
2/01/2017,165704,TRUE,TRUE,1
2/01/2017,165705,FALSE,FALSE,0
2/01/2017,165718,TRUE,FALSE,1
2/01/2017,165727,FALSE,FALSE,0
2/01/2017,165988,TRUE,FALSE,3
2/01/2017,167437,FALSE,FALSE,0
2/01/2017,168927,TRUE,FALSE,17
2/01/2017,168930,TRUE,FALSE,7
2/01/2017,168989,FALSE,FALSE,0
2/01/2017,169101,FALSE,FALSE,0
2/01/2017,170791,TRUE,FALSE,4
2/01/2017,172184,TRUE,FALSE,1
2/01/2017,172343,FALSE,FALSE,0
2/01/2017,173111,FALSE,FALSE,0
2/01/2017,173113,FALSE,FALSE,0
2/01/2017,174081,TRUE,FALSE,1
2/01/2017,177050,FALSE,FALSE,0
2/01/2017,177395,TRUE,FALSE,1
2/01/2017,179274,FALSE,FALSE,0
2/01/2017,179564,FALSE,FALSE,0
2/01/2017,179615,TRUE,FALSE,5
2/01/2017,205387,FALSE,FALSE,0
2/01/2017,205486,TRUE,FALSE,3
2/01/2017,205557,FALSE,FALSE,0
2/01/2017,207857,TRUE,FALSE,1
3/01/2017,103665,FALSE,FALSE,0
3/01/2017,105574,TRUE,TRUE,5
3/01/2017,105575,TRUE,FALSE,12
3/01/2017,105577,TRUE,FALSE,2
3/01/2017,105737,TRUE,FALSE,1
3/01/2017,105857,TRUE,FALSE,8
